timestamp,temperature,humidity,pressure
1712606416667,31.92,26.2,1001.55
1712606417174,31.9,26.38,1001.51
1712606417675,31.92,26.6,1001.47
1712606418192,31.9,26.65,1001.53
1712606418692,31.94,26.61,1001.51
1712606419204,31.93,26.56,1001.56
1712606419707,31.94,26.62,1001.52
1712606420208,31.95,26.65,1001.52
1712606420711,31.95,26.71,1001.54
1712606421214,31.96,26.84,1001.52
1712606421720,31.97,26.91,1001.47
1712606422221,31.96,26.94,1001.52
1712606422724,31.99,26.99,1001.57
1712606423225,31.98,27.1,1001.58
1712606423727,31.98,27.71,1001.56
1712606424239,31.98,28.14,1001.57
1712606424741,31.97,28.45,1001.54
1712606425244,31.96,28.16,1001.53
1712606425745,31.99,27.84,1001.5
1712606426252,31.96,27.21,1001.55
1712606426754,31.96,26.64,1001.51
1712606427271,31.98,26.06,1001.5
1712606427772,31.96,25.62,1001.52
1712606428275,31.96,25.08,1001.55
1712606428782,31.96,24.65,1001.53
1712606429282,31.98,24.47,1001.49
1712606429784,31.97,24.33,1001.54
1712606430285,31.98,24.24,1001.5
1712606430786,31.97,24.1,1001.5
1712606431287,32,23.96,1001.51
1712606431787,31.99,23.88,1001.5
1712606432289,32,23.8,1001.49
1712606432792,32.02,23.75,1001.47
1712606433295,32.01,23.69,1001.49
1712606433797,32.01,23.61,1001.49
1712606434298,32.03,23.44,1001.47
1712606434799,32.03,23.21,1001.5
1712606435316,32.04,23.04,1001.52
1712606435817,32.04,22.88,1001.53
1712606436317,32.05,22.81,1001.53
1712606436819,32.05,22.76,1001.54
1712606437320,32.07,22.76,1001.52
1712606437821,32.08,22.85,1001.54
1712606438321,32.07,23.05,1001.55
1712606438825,32.05,23.63,1001.54
1712606439327,32.07,24.17,1001.54
1712606439829,32.07,24.23,1001.52
1712606440331,32.07,24.08,1001.5
1712606440833,32.03,23.62,1001.48
1712606441334,32.04,23.05,1001.5
1712606441845,32.03,22.56,1001.53
1712606442346,32.01,22.21,1001.5
1712606442848,32.03,21.92,1001.47
1712606443349,32,21.6,1001.48
1712606443852,31.99,21.28,1001.44
1712606444356,31.97,21.05,1001.48
1712606444857,31.98,20.91,1001.43
1712606445359,31.95,20.89,1001.45
1712606445870,31.95,20.73,1001.49
1712606446371,31.94,20.57,1001.45
1712606446871,31.94,20.45,1001.49
1712606447373,31.94,20.47,1001.47
1712606447874,31.92,20.36,1001.47
1712606448376,31.92,20.28,1001.47
1712606448877,31.92,20.25,1001.46
1712606449378,31.9,20.25,1001.47
1712606449879,31.9,20.26,1001.45
1712606450382,31.89,20.24,1001.5
1712606450897,31.9,20.19,1001.43
1712606451414,31.88,20.22,1001.46
1712606451917,31.89,20.34,1001.47
1712606452430,31.86,20.42,1001.47
1712606452939,31.84,20.4,1001.43
1712606453445,31.84,20.34,1001.46
1712606453957,31.83,20.3,1001.47
1712606454458,31.83,20.28,1001.48
1712606454959,31.81,20.21,1001.48
1712606455459,31.81,20.23,1001.45
1712606455961,31.81,20.28,1001.46
1712606456463,31.81,20.38,1001.48
1712606456965,31.81,20.45,1001.46
1712606457467,31.82,20.54,1001.42
1712606457968,31.83,20.59,1001.45
1712606458471,31.82,20.73,1001.5
1712606458972,31.82,20.85,1001.5
1712606459476,31.81,21.01,1001.5
1712606459976,31.82,21.01,1001.48
1712606460478,31.82,20.89,1001.5
1712606460979,31.8,20.75,1001.51
1712606461487,31.8,20.7,1001.52
1712606461989,31.81,20.7,1001.49
1712606462490,31.81,20.73,1001.44
1712606462991,31.81,20.81,1001.49
1712606463498,31.79,20.8,1001.47
1712606463999,31.79,20.86,1001.48
1712606464501,31.8,20.79,1001.44
1712606465002,31.79,20.66,1001.46
1712606465505,31.78,20.47,1001.47
1712606466010,31.78,20.34,1001.46
1712606466511,31.76,20.21,1001.44
1712606467012,31.75,20.12,1001.47
1712606467514,31.75,20.12,1001.48
1712606468018,31.76,19.97,1001.47
1712606468519,31.74,19.73,1001.45
1712606469022,31.73,19.62,1001.47
1712606469523,31.74,19.6,1001.46
1712606470032,31.73,19.63,1001.46
1712606470544,31.72,19.66,1001.45
1712606471045,31.74,19.66,1001.47
1712606471547,31.73,19.62,1001.45
1712606472048,31.72,19.54,1001.45
1712606472556,31.72,19.45,1001.47
1712606473059,31.72,19.42,1001.43
1712606473560,31.73,19.47,1001.46
1712606474064,31.73,19.62,1001.5
1712606474572,31.73,19.7,1001.45
1712606475077,31.72,19.79,1001.44
1712606475578,31.72,19.88,1001.46
1712606476079,31.74,19.94,1001.46
1712606476580,31.74,20.02,1001.48
1712606477082,31.74,20.12,1001.47
1712606477584,31.74,20.14,1001.47
1712606478086,31.75,20.17,1001.47
1712606478588,31.76,20.19,1001.46
1712606479091,31.76,20.19,1001.49
1712606479592,31.79,20.28,1001.44
1712606480094,31.79,20.37,1001.47
1712606480596,31.8,20.41,1001.45
1712606481097,31.79,20.43,1001.47
1712606481601,31.8,20.46,1001.48
1712606482102,31.81,20.49,1001.49
1712606482603,31.82,20.47,1001.47
1712606483104,31.83,20.44,1001.47
1712606483607,31.82,20.41,1001.51
1712606484112,31.84,20.38,1001.51
1712606484612,31.85,20.38,1001.49
1712606485111,31.85,20.43,1001.49
1712606485615,31.85,20.47,1001.47
1712606486120,31.86,20.54,1001.5
1712606486621,31.86,20.66,1001.5
1712606487138,31.87,20.61,1001.5
1712606487639,31.88,20.54,1001.53
1712606488153,31.88,20.49,1001.48
1712606488659,31.89,20.39,1001.5
1712606489161,31.89,20.29,1001.49
1712606489662,31.9,20.41,1001.47
1712606490163,31.92,20.26,1001.5
1712606490664,31.92,20.19,1001.49
1712606491165,31.94,20.12,1001.49
1712606491666,31.94,20.05,1001.48
1712606492167,31.96,20,1001.47
1712606492671,31.93,19.96,1001.4
1712606493172,31.96,19.95,1001.46
1712606493673,31.97,19.92,1001.42
1712606494175,31.97,19.9,1001.42
1712606494678,31.98,19.9,1001.42
1712606495186,31.97,19.92,1001.43
1712606495687,31.98,19.92,1001.44
1712606496188,31.99,19.91,1001.39
1712606496689,31.99,20.08,1001.42
1712606497196,31.99,20.63,1001.46
1712606497696,32,21.11,1001.43
1712606498197,32.01,21.6,1001.46
1712606498700,32.01,21.95,1001.41
1712606499201,32.02,22.27,1001.47
1712606499706,32.02,22.47,1001.47
1712606500208,32.03,22.75,1001.42
1712606500710,32.02,22.95,1001.48
1712606501211,32.03,23.12,1001.52
1712606501718,32.04,23.3,1001.47
1712606502218,32.04,23.38,1001.51
1712606502718,32.04,23.04,1001.5
1712606503220,32.07,22.65,1001.46
